// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
W = 50
SIGMA = 1
K = 5
A = 0.363636
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
47 late  3166 608 4.2331 3.4826 6.24841 4.35264 1.05685 2.58135
48 early 3951 785 4.19337 4.3461 6.1614 4.34615 1.061 2.63097
48 late  3160 631 4.16646 3.476 6.12854 4.32465 1.06361 2.63186
49 early 3962 802 4.12065 4.3582 6.04527 4.34266 1.04366 2.68693
49 late  3163 640 4.15934 3.4793 6.034 4.36081 1.05058 2.68817
50 early 3918 755 4.16514 4.3098 5.95888 4.11066 1.05258 2.75521
50 late  3146 600 4.19739 3.4606 5.95532 4.2818 1.06325 2.7559
51 early 3956 810 4.13322 4.3516 6.03387 4.322 1.03564 2.81447
51 late  3172 644 4.13335 3.4892 6.02248 4.30953 1.01576 2.81584
52 early 3961 789 4.11083 4.3571 5.98152 4.34805 1.00934 2.86565
52 late  3179 622 4.15382 3.4969 5.99106 4.38329 1.01604 2.86672
53 early 3943 764 4.15521 4.3373 5.99195 4.30025 1.02511 2.91843
53 late  3147 610 4.13378 3.4617 6.00435 4.40921 1.01811 2.9194
54 early 3928 781 4.11303 4.3208 5.98623 4.35403 1.01935 2.9736
54 late  3160 633 4.1269 3.476 5.98529 4.39548 1.01456 2.97502
55 early 3956 796 4.0953 4.3516 5.99969 4.39753 1.01694 3.02444
55 late  3172 616 4.09584 3.4892 5.97139 4.3856 1.03657 3.02535
56 early 3992 820 4.0491 4.3912 6.02645 4.41411 1.03081 3.07337
56 late  3201 626 4.08779 3.5211 6.01293 4.44119 1.04405 3.0743
57 early 4006 805 4.0654 4.4066 5.98327 4.39584 1.03545 3.12255
57 late  3230 638 4.08669 3.553 5.96977 4.38588 1.03746 3.12349
58 early 4070 840 4.03686 4.477 6.0361 4.47372 1.01916 3.17247
58 late  3226 668 4.00093 3.5486 6.05337 4.5155 0.99473 3.17343
59 early 4002 776 4.03123 4.4022 5.98102 4.43185 1.0005 3.2221
59 late  3187 620 4.09225 3.5057 5.9955 4.44642 1.01977 3.22315
60 early 4016 829 4.04109 4.4176 5.976 4.39891 0.993775 3.27102
60 late  3201 650 4.11371 3.5211 6.00959 4.49127 1.01062 3.27198
61 early 4006 805 4.08612 4.4066 6.03067 4.45963 1.01997 3.32114
61 late  3223 626 4.11821 3.5453 6.00359 4.49307 1.02513 3.32213
