// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
BURNIN = 200
W = 50
SIGMA = 1
K = 5
A = 0.444444
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
98 early 4343 824 4.0898 3.9087 6.02465 3.8363 1.01566 5.35861
98 late  3494 655 4.06096 3.1446 5.99833 3.82529 1.00601 5.35957
99 early 4338 844 4.0763 3.9042 5.91864 3.83978 1.01291 5.41183
99 late  3489 671 4.0599 3.1401 5.89178 3.84559 1.00057 5.41268
100 early 4380 891 4.03059 3.942 5.93574 3.89424 0.989269 5.46502
100 late  3510 709 4.05442 3.159 5.95017 3.9177 0.992308 5.4661
101 early 4403 893 4.0293 3.9627 6.06199 3.92982 0.995912 5.51858
101 late  3525 713 4.08596 3.1725 6.05502 3.91272 1.02043 5.51918
102 early 4424 899 4.05244 3.9816 6.0514 3.88004 1.00836 5.57254
102 late  3542 711 4.05082 3.1878 6.06619 3.84801 1.01666 5.57319
103 early 4422 880 4.04568 3.9798 6.08525 3.90481 1.01379 5.6259
103 late  3530 696 4.08414 3.177 6.00574 3.82314 1.02465 5.62673
104 early 4390 860 4.08815 3.951 5.8653 3.88038 1.0139 5.6782
104 late  3491 685 4.16156 3.1419 5.88025 3.90324 1.0381 5.67893
105 early 4354 863 4.13849 3.9186 5.84068 3.84584 1.03606 5.72991
105 late  3478 693 4.07131 3.1302 5.84369 3.88073 1.02703 5.73083
106 early 4309 831 4.09329 3.8781 5.83671 3.80978 1.03528 5.78089
106 late  3447 663 4.13577 3.1023 5.85287 3.8339 1.05106 5.78177
107 early 4306 859 4.11124 3.8754 5.86262 3.81249 1.04529 5.83277
107 late  3494 689 4.10189 3.1446 5.82807 3.79382 1.03864 5.83365
108 early 4318 824 4.1283 3.8862 5.76661 3.85463 1.05396 5.88393
108 late  3503 669 4.1493 3.1527 5.76068 3.83142 1.07023 5.88469
109 early 4362 859 4.13526 3.9258 5.87494 3.84104 1.06763 6.05565
109 late  3518 683 4.19812 3.1662 5.84431 3.84216 1.09039 6.05657
110 early 4422 904 4.13546 3.9798 5.94565 3.9159 1.06649 6.10898
110 late  3514 721 4.12408 3.1626 5.96153 3.92054 1.04354 6.10979
111 early 4370 856 4.12037 3.933 5.87775 3.85197 1.03318 6.16123
111 late  3509 672 4.14335 3.1581 5.88657 3.87092 1.04531 6.16207
112 early 4371 862 4.12903 3.9339 5.8703 3.85673 1.03409 6.21258
112 late  3493 677 4.17263 3.1437 5.83797 3.88152 1.04953 6.21339
113 early 4354 861 4.14975 3.9186 5.82805 3.88949 1.03927 6.26466
113 late  3532 705 4.14864 3.1788 5.83234 3.93659 1.03426 6.26547
114 early 4398 866 4.13483 3.9582 5.94025 3.95433 1.02115 6.31715
114 late  3546 681 4.20869 3.1914 5.96322 3.96873 1.03356 6.31796
115 early 4444 898 4.15617 3.9996 6.00831 3.94772 1.01868 6.36971
115 late  3549 723 4.16568 3.1941 6.00561 3.94721 1.02198 6.3708
116 early 4372 823 4.19328 3.9348 5.87127 3.90209 1.03911 6.42197
116 late  3522 648 4.21834 3.1698 5.80376 3.86898 1.03833 6.42298
117 early 4400 878 4.17705 3.96 5.81395 3.90499 1.03523 6.47305
117 late  3552 704 4.17511 3.1968 5.83183 3.95275 1.03801 6.47387
118 early 4397 845 4.18058 3.9573 5.84776 3.88657 1.04071 6.52406
118 late  3521 667 4.20733 3.1689 5.89623 3.97769 1.04686 6.52489
119 early 4393 872 4.17369 3.9537 5.95511 3.88833 1.04188 6.5764
119 late  3490 686 4.19054 3.141 5.97887 3.97785 1.02779 6.57725
120 early 4349 859 4.16533 3.9141 5.97533 3.88117 1.02874 6.62825
120 late  3476 680 4.23993 3.1284 5.96749 3.9148 1.0515 6.62908
121 early 4350 874 4.18713 3.915 6.0236 3.88633 1.03264 6.67903
121 late  3520 692 4.20597 3.168 6.03051 3.8908 1.03636 6.68044
122 early 4381 861 4.18283 3.9429 6.10983 3.8796 1.04177 6.73229
122 late  3544 695 4.19498 3.1896 6.09199 3.84918 1.04148 6.73311
123 early 4439 895 4.14756 3.9951 6.19175 3.88078 1.03312 6.78931
123 late  3537 709 4.15691 3.1833 6.17211 3.88821 1.041 6.7902
124 early 4414 877 4.13231 3.9726 6.13749 3.9103 1.02628 6.84472
