// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 30
BURNIN = 200
W = 50
SIGMA = 1.5
K = 5
A = 0.444444
SD = 1.5
SI = 1.5
SM = 1.5
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=4.5);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=4.5);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
54 early 4209 835 4.16631 3.7881 5.76821 3.87578 1.07769 5.23564
54 late  3397 653 4.24021 3.0573 5.77428 3.94838 1.09744 5.23683
55 early 4254 857 4.18453 3.8286 5.80522 3.98779 1.07945 5.33352
55 late  3434 675 4.18288 3.0906 5.83534 4.0103 1.08125 5.33481
56 early 4312 878 4.12755 3.8808 5.94811 4.00756 1.05172 5.43366
56 late  3447 721 4.12968 3.1023 5.92227 4.00883 1.04555 5.43496
57 early 4298 851 4.11401 3.8682 5.84512 3.97619 1.04281 5.53219
57 late  3426 681 4.05721 3.0834 5.87729 4.06757 1.03503 5.53349
58 early 4269 843 4.05856 3.8421 5.8677 3.97886 1.03092 5.63286
58 late  3423 670 4.04499 3.0807 5.90659 4.00846 1.02308 5.63411
59 early 4306 883 4.01045 3.8754 6.01874 3.99649 1.01811 5.73275
59 late  3450 717 4.0258 3.105 6.01504 4.03026 1.01913 5.73399
60 early 4244 794 4.08553 3.8196 5.89107 3.90238 1.03417 5.83198
60 late  3413 624 4.11427 3.0717 5.88606 3.9897 1.02227 5.83337
61 early 4240 827 4.11675 3.816 5.87828 3.9121 1.02099 5.93839
61 late  3381 634 4.22005 3.0429 5.90936 4.00629 1.04022 5.93934
62 early 4182 801 4.22023 3.7638 5.81603 3.85965 1.03922 6.03587
62 late  3415 648 4.22196 3.0735 5.85401 3.96673 1.04773 6.03684
63 early 4192 777 4.25406 3.7728 5.85319 3.901 1.06966 6.13432
63 late  3367 607 4.29849 3.0303 5.84241 3.91285 1.07811 6.13531
64 early 4270 903 4.17799 3.843 5.91913 3.9612 1.03888 6.23202
64 late  3477 705 4.27955 3.1293 5.95391 4.02044 1.06615 6.23291
65 early 4338 861 4.23167 3.9042 6.03913 4.01004 1.05509 6.33092
65 late  3477 677 4.26114 3.1293 6.0329 4.07598 1.05234 6.3321
66 early 4338 861 4.21692 3.9042 5.97809 4.01525 1.04864 6.42803
66 late  3481 685 4.21201 3.1329 5.95946 4.03816 1.05257 6.42895
67 early 4330 849 4.19007 3.897 5.90671 4.01104 1.06005 6.52721
67 late  3480 676 4.25402 3.132 5.92224 4.04559 1.07299 6.52838
68 early 4312 832 4.24026 3.8808 5.87718 3.98443 1.05983 6.62709
68 late  3489 676 4.21926 3.1401 5.91347 4.07501 1.06076 6.62807
69 early 4384 895 4.15374 3.9456 6.03491 4.04601 1.04288 6.72912
69 late  3483 703 4.14958 3.1347 5.97769 4.06819 1.03704 6.73008
70 early 4338 855 4.13462 3.9042 5.84492 4.03056 1.02674 6.82827
70 late  3444 683 4.13095 3.0996 5.84648 4.04665 1.02962 6.82924
71 early 4269 825 4.13938 3.8421 5.62523 3.94451 1.03771 6.92592
71 late  3430 654 4.15802 3.087 5.64619 3.98156 1.0484 6.92693
72 early 4315 885 4.10012 3.8835 5.7119 3.94043 1.02735 7.02391
72 late  3474 690 4.14882 3.1266 5.74826 4.01726 1.03195 7.02488
73 early 4340 866 4.12143 3.906 5.78877 3.95489 1.03111 7.12427
73 late  3455 696 4.14298 3.1095 5.78806 3.99197 1.03647 7.12523
74 early 4249 794 4.18193 3.8241 5.62328 3.87108 1.05131 7.33077
74 late  3409 649 4.19361 3.0681 5.6417 3.91097 1.04957 7.33173
75 early 4231 822 4.18459 3.8079 5.62645 3.84301 1.05058 7.42549
75 late  3426 658 4.23234 3.0834 5.64292 3.88024 1.05779 7.42644
76 early 4325 899 4.14474 3.8925 5.78467 3.958 1.03445 7.52306
76 late  3469 717 4.11242 3.1221 5.81511 4.02639 1.03084 7.52401
77 early 4285 816 4.13886 3.8565 5.81027 3.93416 1.03874 7.62191
77 late  3409 663 4.17512 3.0681 5.82372 3.99825 1.03813 7.62287
78 early 4248 839 4.15301 3.8232 5.63696 3.89083 1.02519 7.71896
78 late  3445 660 4.23628 3.1005 5.64819 3.95321 1.04731 7.71995
79 early 4257 812 4.23749 3.8313 5.60833 3.91973 1.0491 7.81528
79 late  3408 661 4.30194 3.0672 5.64906 3.98839 1.05839 7.81626
80 early 4267 859 4.23459 3.8403 5.68847 3.94206 1.04875 7.91354
80 late  3425 705 4.27445 3.0825 5.72776 4.00677 1.05022 7.9145
81 early 4334 909 4.1682 3.9006 5.80935 3.99428 1.05168 8.0151
81 late  3478 717 4.21392 3.1302 5.87298 4.11697 1.06383 8.01609
82 early 4313 835 4.2045 3.8817 5.90167 4.0134 1.06446 8.11924
82 late  3454 676 4.24146 3.1086 5.89531 4.04294 1.07267 8.12021
83 early 4370 916 4.14279 3.933 5.9788 4.04895 1.0341 8.22377
83 late  3466 723 4.2262 3.1194 5.97584 4.06658 1.06434 8.22473
84 early 4341 875 4.17277 3.9069 5.9024 4.02258 1.05529 8.32703
84 late  3446 665 4.22809 3.1014 5.97411 4.14012 1.0679 8.32807
85 early 4300 854 4.18977 3.87 5.99142 4.02024 1.04907 8.42963
85 late  3379 667 4.2187 3.0411 5.96043 4.03231 1.06629 8.43066
86 early 4195 816 4.20358 3.7755 5.63911 3.89051 1.0677 8.52782
86 late  3392 643 4.21167 3.0528 5.68641 3.98723 1.07636 8.52908
87 early 4269 877 4.14102 3.8421 5.80037 3.98877 1.04521 8.63011
87 late  3460 711 4.2104 3.114 5.79698 4.01102 1.05347 8.63152
88 early 4276 816 4.21609 3.8484 5.82574 4.01319 1.06548 8.73239
88 late  3426 639 4.17747 3.0834 5.84123 4.02689 1.04933 8.73338
89 early 4247 821 4.1766 3.8223 5.76095 3.92465 1.03979 8.83018
89 late  3430 659 4.19854 3.087 5.78704 3.98562 1.05569 8.8311
90 early 4205 775 4.24043 3.7845 5.7491 3.89069 1.06445 8.92878
90 late  3405 626 4.24699 3.0645 5.77963 3.95224 1.08223 8.9298
91 early 4214 809 4.23968 3.7926 5.76195 3.92243 1.07285 9.02577
91 late  3363 645 4.23372 3.0267 5.78729 3.96588 1.06839 9.0267
92 early 4202 839 4.18872 3.7818 5.72683 3.91523 1.04331 9.1224
92 late  3382 666 4.21053 3.0438 5.73354 3.92631 1.04642 9.12341
93 early 4223 841 4.17286 3.8007 5.72041 3.91226 1.04097 9.21815
93 late  3399 680 4.15063 3.0591 5.74303 3.98481 1.04119 9.21907
94 early 4272 873 4.09808 3.8448 5.84096 3.96562 1.02926 9.31665
94 late  3463 700 4.1311 3.1167 5.8713 4.00536 1.03119 9.31794
95 early 4357 894 4.07826 3.9213 5.9675 4.01248 1.02066 9.41899
95 late  3478 699 4.09546 3.1302 6.0119 4.11712 1.0253 9.41998
96 early 4334 856 4.08906 3.9006 6.04493 3.99561 1.01869 9.52227
96 late  3489 681 4.15363 3.1401 6.02159 4.04301 1.03439 9.52328
97 early 4336 847 4.14691 3.9024 6.00171 4.02089 1.03275 9.62465
97 late  3464 671 4.19371 3.1176 6.0362 4.13556 1.05225 9.62562
98 early 4317 853 4.16748 3.8853 6.05578 4.01477 1.04563 9.72668
98 late  3449 667 4.196 3.1041 6.07369 4.0595 1.049 9.72769
99 early 4297 848 4.17058 3.8673 5.99926 4.00328 1.05562 9.82923
99 late  3435 691 4.16972 3.0915 5.94742 3.97373 1.05066 9.83019
100 early 4304 869 4.12593 3.8736 5.90625 3.99036 1.02718 9.9312
100 late  3468 695 4.14821 3.1212 5.88184 4.03448 1.02999 9.93242
101 early 4287 819 4.16468 3.8583 5.81763 3.99046 1.03429 10.0307
